2025-09-02 23:03:46 startup archives unpack
2025-09-02 23:03:47 install blender-data:all <none> 4.0.2+dfsg-1ubuntu8
2025-09-02 23:03:47 status half-installed blender-data:all 4.0.2+dfsg-1ubuntu8
2025-09-02 23:03:47 status triggers-pending hicolor-icon-theme:all 0.17-2
2025-09-02 23:03:48 status triggers-pending man-db:amd64 2.12.0-4build2
2025-09-02 23:03:48 status unpacked blender-data:all 4.0.2+dfsg-1ubuntu8
2025-09-02 23:03:48 install fonts-dejavu:all <none> 2.37-8
2025-09-02 23:03:48 status half-installed fonts-dejavu:all 2.37-8
2025-09-02 23:03:48 status unpacked fonts-dejavu:all 2.37-8
2025-09-02 23:03:48 install libtbbmalloc2:amd64 <none> 2021.11.0-2ubuntu2
2025-09-02 23:03:48 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.5
2025-09-02 23:03:48 status half-installed libtbbmalloc2:amd64 2021.11.0-2ubuntu2
2025-09-02 23:03:48 status unpacked libtbbmalloc2:amd64 2021.11.0-2ubuntu2
2025-09-02 23:03:48 install libhwloc15:amd64 <none> 2.10.0-1build1
2025-09-02 23:03:48 status half-installed libhwloc15:amd64 2.10.0-1build1
2025-09-02 23:03:48 status unpacked libhwloc15:amd64 2.10.0-1build1
2025-09-02 23:03:48 install libtbbbind-2-5:amd64 <none> 2021.11.0-2ubuntu2
2025-09-02 23:03:48 status half-installed libtbbbind-2-5:amd64 2021.11.0-2ubuntu2
2025-09-02 23:03:48 status unpacked libtbbbind-2-5:amd64 2021.11.0-2ubuntu2
2025-09-02 23:03:48 install libtbb12:amd64 <none> 2021.11.0-2ubuntu2
2025-09-02 23:03:48 status half-installed libtbb12:amd64 2021.11.0-2ubuntu2
2025-09-02 23:03:48 status unpacked libtbb12:amd64 2021.11.0-2ubuntu2
2025-09-02 23:03:48 install libembree4-4:amd64 <none> 4.3.0+dfsg-2
2025-09-02 23:03:48 status half-installed libembree4-4:amd64 4.3.0+dfsg-2
2025-09-02 23:03:49 status unpacked libembree4-4:amd64 4.3.0+dfsg-2
2025-09-02 23:03:49 install libjemalloc2:amd64 <none> 5.3.0-2build1
2025-09-02 23:03:49 status half-installed libjemalloc2:amd64 5.3.0-2build1
2025-09-02 23:03:49 status unpacked libjemalloc2:amd64 5.3.0-2build1
2025-09-02 23:03:49 install libpystring0:amd64 <none> 1.1.4-1build1
2025-09-02 23:03:49 status half-installed libpystring0:amd64 1.1.4-1build1
2025-09-02 23:03:49 status unpacked libpystring0:amd64 1.1.4-1build1
2025-09-02 23:03:49 install libyaml-cpp0.8:amd64 <none> 0.8.0+dfsg-6build1
2025-09-02 23:03:49 status half-installed libyaml-cpp0.8:amd64 0.8.0+dfsg-6build1
2025-09-02 23:03:49 status unpacked libyaml-cpp0.8:amd64 0.8.0+dfsg-6build1
2025-09-02 23:03:49 install libopencolorio2.1t64:amd64 <none> 2.1.3+dfsg-1.1build3
2025-09-02 23:03:49 status half-installed libopencolorio2.1t64:amd64 2.1.3+dfsg-1.1build3
2025-09-02 23:03:49 status unpacked libopencolorio2.1t64:amd64 2.1.3+dfsg-1.1build3
2025-09-02 23:03:49 install libdcmtk17t64:amd64 <none> 3.6.7-9.1build4
2025-09-02 23:03:49 status half-installed libdcmtk17t64:amd64 3.6.7-9.1build4
2025-09-02 23:03:50 status unpacked libdcmtk17t64:amd64 3.6.7-9.1build4
2025-09-02 23:03:50 install libopencv-core406t64:amd64 <none> 4.6.0+dfsg-13.1ubuntu1
2025-09-02 23:03:50 status half-installed libopencv-core406t64:amd64 4.6.0+dfsg-13.1ubuntu1
2025-09-02 23:03:50 status unpacked libopencv-core406t64:amd64 4.6.0+dfsg-13.1ubuntu1
2025-09-02 23:03:50 install libopencv-imgproc406t64:amd64 <none> 4.6.0+dfsg-13.1ubuntu1
2025-09-02 23:03:50 status half-installed libopencv-imgproc406t64:amd64 4.6.0+dfsg-13.1ubuntu1
2025-09-02 23:03:50 status unpacked libopencv-imgproc406t64:amd64 4.6.0+dfsg-13.1ubuntu1
2025-09-02 23:03:50 install gdal-data:all <none> 3.8.4+dfsg-3ubuntu3
2025-09-02 23:03:50 status half-installed gdal-data:all 3.8.4+dfsg-3ubuntu3
2025-09-02 23:03:50 status unpacked gdal-data:all 3.8.4+dfsg-3ubuntu3
2025-09-02 23:03:50 install gdal-plugins:amd64 <none> 3.8.4+dfsg-3ubuntu3
2025-09-02 23:03:50 status half-installed gdal-plugins:amd64 3.8.4+dfsg-3ubuntu3
2025-09-02 23:03:50 status unpacked gdal-plugins:amd64 3.8.4+dfsg-3ubuntu3
2025-09-02 23:03:50 install libaec0:amd64 <none> 1.1.2-1build1
2025-09-02 23:03:50 status half-installed libaec0:amd64 1.1.2-1build1
2025-09-02 23:03:50 status unpacked libaec0:amd64 1.1.2-1build1
2025-09-02 23:03:50 install libarpack2t64:amd64 <none> 3.9.1-1.1build2
2025-09-02 23:03:50 status half-installed libarpack2t64:amd64 3.9.1-1.1build2
2025-09-02 23:03:50 status unpacked libarpack2t64:amd64 3.9.1-1.1build2
2025-09-02 23:03:50 install libsuperlu6:amd64 <none> 6.0.1+dfsg1-1build1
2025-09-02 23:03:50 status half-installed libsuperlu6:amd64 6.0.1+dfsg1-1build1
2025-09-02 23:03:50 status unpacked libsuperlu6:amd64 6.0.1+dfsg1-1build1
2025-09-02 23:03:51 install libarmadillo12:amd64 <none> 1:12.6.7+dfsg-1build2
2025-09-02 23:03:51 status half-installed libarmadillo12:amd64 1:12.6.7+dfsg-1build2
2025-09-02 23:03:51 status unpacked libarmadillo12:amd64 1:12.6.7+dfsg-1build2
2025-09-02 23:03:51 install libblosc1:amd64 <none> 1.21.5+ds-1build1
2025-09-02 23:03:51 status half-installed libblosc1:amd64 1.21.5+ds-1build1
2025-09-02 23:03:51 status unpacked libblosc1:amd64 1.21.5+ds-1build1
2025-09-02 23:03:51 install libcfitsio10t64:amd64 <none> 4.3.1-1.1build2
2025-09-02 23:03:51 status half-installed libcfitsio10t64:amd64 4.3.1-1.1build2
2025-09-02 23:03:51 status unpacked libcfitsio10t64:amd64 4.3.1-1.1build2
2025-09-02 23:03:51 install libminizip1t64:amd64 <none> 1:1.3.dfsg-3.1ubuntu2.1
2025-09-02 23:03:51 status half-installed libminizip1t64:amd64 1:1.3.dfsg-3.1ubuntu2.1
2025-09-02 23:03:51 status unpacked libminizip1t64:amd64 1:1.3.dfsg-3.1ubuntu2.1
2025-09-02 23:03:51 install libfreexl1:amd64 <none> 2.0.0-1build2
2025-09-02 23:03:51 status half-installed libfreexl1:amd64 2.0.0-1build2
2025-09-02 23:03:51 status unpacked libfreexl1:amd64 2.0.0-1build2
2025-09-02 23:03:51 install libfyba0t64:amd64 <none> 4.1.1-11build1
2025-09-02 23:03:51 status half-installed libfyba0t64:amd64 4.1.1-11build1
2025-09-02 23:03:51 status unpacked libfyba0t64:amd64 4.1.1-11build1
